Provincia,Partido,Localidad,Link Indec, ADSL , CABLEMODEM , DIAL UP , FIBRA OPTICA , OTROS , SATELITAL , WIMAX , WIRELESS , Total general 
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100, 755 , 4.600 , -   , 2 , -   , 742 , -   , 727 , 6.826 
BUENOS AIRES,25 de Mayo,Del Valle,6854020, 181 , -   , -   , -   , 10 , 1 , -   , -   , 192 
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040, -   , -   , -   , -   , -   , -   , -   , 181 , 181 
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060, -   , 782 , -   , 496 , 16 , -   , -   , 185 , 1.479 
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050, -   , -   , -   , -   , -   , -   , -   , 6 , 6 
BUENOS AIRES,25 de Mayo,Ernestina,6854030, 75 , -   , -   , -   , -   , -   , -   , -   , 75 
BUENOS AIRES,25 de Mayo,Pedernales,6854070, 154 , -   , -   , 25 , 21 , -   , -   , 7 , 207 
BUENOS AIRES,9 de Julio,12 de Octubre,6588030, -   , -   , -   , -   , -   , -   , -   , 19 , 19 
BUENOS AIRES,9 de Julio,9 de Julio,6588100, 4.241 , 3.553 , 80 , 6.238 , -   , -   , -   , 831 , 14.943 
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010, 450 , -   , -   , -   , 60 , -   , -   , -   , 510 
BUENOS AIRES,9 de Julio,Dudignac,6588040, -   , -   , -   , -   , -   , -   , -   , 474 , 474 
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060, 193 , -   , -   , 2 , 2 , -   , -   , -   , 197 
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120, -   , -   , -   , 118 , -   , -   , -   , 42 , 160 
BUENOS AIRES,9 de Julio,Patricios,6588110, 81 , -   , -   , -   , -   , -   , -   , 50 , 131 
BUENOS AIRES,9 de Julio,Morea,6588080, -   , -   , -   , -   , -   , -   , -   , 130 , 130 
BUENOS AIRES,Adolfo Alsina,Carhué,6007010, 766 , -   , 1 , 1.417 , 1 , -   , -   , 1.066 , 3.251 
BUENOS AIRES,Adolfo Alsina,Maza,6007070, -   , -   , -   , 390 , -   , 2 , -   , 14 , 406 
BUENOS AIRES,Adolfo Alsina,Rivera,6007080, -   , -   , -   , 1.253 , -   , -   , -   , -   , 1.253 
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020, -   , -   , -   , 208 , -   , -   , -   , -   , 208 
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050, -   , -   , -   , 60 , -   , -   , -   , -   , 60 
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010, 464 , -   , 2 , 943 , -   , -   , -   , 690 , 2.099 
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020, -   , -   , -   , 654 , 6 , -   , -   , 57 , 717 
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030, -   , -   , -   , -   , -   , -   , -   , 46 , 46 
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040, -   , -   , -   , -   , -   , -   , -   , 14 , 14 
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010, 335 , -   , 6 , 1 , -   , -   , -   , 2 , 344 
BUENOS AIRES,Alberti,Mechita,6021030, 285 , -   , -   , -   , -   , -   , -   , -   , 285 
BUENOS AIRES,Alberti,Coronel Seguí,6021020, -   , -   , -   , -   , -   , -   , -   , 5 , 5 
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070, -   , -   , -   , -   , -   , -   , -   , 24 , 24 
BUENOS AIRES,Almirante Brown,Adrogué,6028010, 86 , 9.355 , 53 , 12.087 , 91 , 1 , -   , 26 , 21.699 
BUENOS AIRES,Almirante Brown,Burzaco,6028010, 39 , 16.766 , 35 , 12.073 , 14 , 2 , -   , 309 , 29.238 
BUENOS AIRES,Almirante Brown,Claypole,6028010, 4 , 7.732 , 3 , 3.987 , 15 , -   , -   , 2 , 11.743 
BUENOS AIRES,Almirante Brown,Don Orione,6028010, -   , 5.756 , -   , -   , 42 , -   , -   , 1 , 5.799 
BUENOS AIRES,Almirante Brown,Glew,6028010, 11 , 9.209 , 10 , 12.012 , 12 , -   , -   , 54 , 21.308 
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010, -   , 7.604 , 1 , 1.605 , 4 , -   , -   , 1 , 9.215 
BUENOS AIRES,Almirante Brown,Longchamps,6028010, 16 , 9.478 , 20 , 8.223 , 29 , -   , -   , 1 , 17.767 
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010, 1 , 4.921 , 3 , 787 , 6 , -   , -   , 1 , 5.719 
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010, 3 , 3.666 , 4 , 4.309 , -   , -   , -   , 1 , 7.983 
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010, 9 , 10.941 , 14 , 10.091 , 179 , -   , -   , 340 , 21.574 
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010, 3 , 4.418 , 4 , 4.746 , 128 , -   , -   , 2 , 9.301 
BUENOS AIRES,Almirante Brown,San Jose,6028010, 2 , 9.013 , 1 , 1.166 , 1 , 3 , -   , 1 , 10.187 
BUENOS AIRES,Arrecifes,Arrecifes,6077010, 773 , 1.297 , 12 , 6.903 , -   , 1 , -   , 1.325 , 10.311 
BUENOS AIRES,Arrecifes,Todd,6077020, -   , -   , -   , 341 , -   , -   , -   , -   , 341 
BUENOS AIRES,Arrecifes,Viña,6077030, 50 , -   , -   , -   , -   , -   , -   , 30 , 80 
BUENOS AIRES,Avellaneda,Avellaneda,6035010, 903 , 8.577 , 46 , 7.442 , 168 , 8 , -   , 79 , 17.223 
BUENOS AIRES,Avellaneda,Crucesita,6035010, 1 , 4.834 , -   , 3.047 , 7 , -   , -   , -   , 7.889 
BUENOS AIRES,Avellaneda,Dock Sud,6035010, 11 , 630 , -   , 1.908 , 13 , -   , -   , 26 , 2.588 
BUENOS AIRES,Avellaneda,Gerli,6035010, 3 , 5.769 , -   , 4.826 , 5 , -   , -   , -   , 10.603 
BUENOS AIRES,Avellaneda,Pineyro,6035010, 9 , 5.704 , 1 , 2.673 , 5 , -   , -   , -   , 8.392 
BUENOS AIRES,Avellaneda,Sarandí,6035010, 703 , 9.510 , 60 , 13.779 , 43 , 1 , -   , 1 , 24.097 
BUENOS AIRES,Avellaneda,Villa Domínico,6035010, 15 , 8.462 , 2 , 7.525 , 19 , -   , -   , 600 , 16.623 
BUENOS AIRES,Avellaneda,Wilde,6035010, 329 , 12.033 , 62 , 16.620 , 12 , -   , -   , 101 , 29.157 
BUENOS AIRES,Ayacucho,Ayacucho,6042010, 1.834 , -   , 2 , -   , -   , -   , -   , 142 , 1.978 
BUENOS AIRES,Ayacucho,La Constancia,6042020, -   , -   , -   , -   , -   , -   , -   , 10 , 10 
BUENOS AIRES,Ayacucho,Solanet,6042030, -   , -   , -   , -   , -   , -   , -   , 27 , 27 
BUENOS AIRES,Ayacucho,Udaquiola,6042040, -   , -   , -   , -   , -   , 1 , -   , 46 , 47 
BUENOS AIRES,Azul,Azul,6049020, 1.692 , 14.974 , 48 , 78 , 14 , 2 , -   , 1.145 , 17.953 
BUENOS AIRES,Azul,Cacharí,6049030, -   , -   , 2 , -   , -   , -   , -   , 521 , 523 
BUENOS AIRES,Azul,Chillar,6049040, -   , -   , -   , -   , -   , 1 , -   , 565 , 566 
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010, 3.774 , 103.360 , 388 , 14.732 , 64 , 8 , -   , 2.764 , 125.090 
BUENOS AIRES,Bahía Blanca,Cabildo,6056020, -   , 193 , 4 , 210 , 2 , -   , -   , 66 , 475 
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030, 320 , 1.670 , 1 , 2 , -   , -   , -   , 15 , 2.008 
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020, -   , -   , -   , 1 , -   , 3 , -   , -   , 4 
BUENOS AIRES,Balcarce,Balcarce,6063010, 1.347 , 11.903 , 36 , 45 , 9 , -   , -   , 883 , 14.223 
BUENOS AIRES,Balcarce,Los Pinos,6063020, -   , -   , -   , -   , 9 , -   , -   , 30 , 39 
BUENOS AIRES,Balcarce,Napaleofú,6063030, -   , -   , -   , 15 , -   , -   , -   , 107 , 122 
BUENOS AIRES,Balcarce,Ramos Otero,6063040, -   , -   , -   , -   , -   , -   , -   , 8 , 8 
BUENOS AIRES,Balcarce,San Agustín,6063050, -   , -   , -   , -   , 3 , -   , -   , 72 , 75 
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060, -   , -   , -   , -   , -   , -   , -   , 42 , 42 
BUENOS AIRES,Baradero,Baradero,6070010, 1.010 , 7.486 , -   , 85 , -   , 2 , -   , 827 , 9.410 
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040, 96 , -   , -   , -   , 10 , -   , -   , 248 , 354 
BUENOS AIRES,Baradero,Irineo Portela,6070020, -   , -   , -   , 1 , -   , -   , -   , 78 , 79 
BUENOS AIRES,Baradero,Santa Coloma,6070030, -   , -   , -   , -   , -   , -   , -   , 55 , 55 
BUENOS AIRES,Benito Juárez,Barker,6084010, -   , -   , 1 , 10 , -   , 2 , -   , 70 , 83 
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020, 650 , -   , 20 , 563 , 4 , 1 , -   , 147 , 1.385 
BUENOS AIRES,Benito Juárez,López,6084030, -   , -   , -   , 4 , -   , -   , -   , 12 , 16 
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050, -   , -   , -   , 20 , -   , 1 , -   , 100 , 121 
BUENOS AIRES,Berazategui,Berazategui,6091010, 247 , 16.915 , 38 , 29.387 , 23 , 4 , -   , 49 , 46.663 
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010, 16 , 130 , -   , 15.656 , -   , -   , -   , -   , 15.802 
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010, 1 , 1.429 , -   , 1.925 , 2 , -   , -   , -   , 3.357 
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010, 1.348 , 2.061 , -   , 672 , -   , -   , -   , 16 , 4.097 
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010, 40 , 6.090 , 2 , 9.754 , 3 , -   , -   , -   , 15.889 
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010, 94 , 2.038 , 2 , 5.607 , -   , -   , -   , 90 , 7.831 
BUENOS AIRES,Berazategui,Pereyra,6091010, -   , 247 , 1 , 431 , -   , -   , -   , -   , 679 
BUENOS AIRES,Berazategui,Plátanos,6091010, -   , 1.828 , -   , 2.273 , 1 , -   , -   , -   , 4.102 
BUENOS AIRES,Berazategui,Ranelagh,6091010, 10 , 2.946 , 13 , 7.764 , -   , 1 , -   , -   , 10.734 
BUENOS AIRES,Berazategui,Villa España,6091010, 1 , 1.112 , -   , 2.328 , 1 , -   , -   , -   , 3.442 
BUENOS AIRES,Berisso,Berisso,6098010, 3.116 , 14.231 , 21 , 7.668 , 6 , -   , -   , 413 , 25.455 
BUENOS AIRES,Berisso,Villa Nueva,6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 
BUENOS AIRES,Berisso,Villa Arguello,6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 
BUENOS AIRES,Berisso,Villa Progreso,6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 
BUENOS AIRES,Bolívar,OTROS,Sin Datos, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 
BUENOS AIRES,Bolívar,Pirovano,6105050, -   , -   , -   , -   , 50 , -   , -   , 45 , 95 
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060, 727 , 5.211 , 2 , 11 , -   , 1 , -   , 255 , 6.207 
BUENOS AIRES,Bolívar,Urdampilleta,6105070, -   , -   , 5 , 2 , -   , -   , -   , 71 , 78 
BUENOS AIRES,Bolívar,Hale,6105010, 10 , -   , -   , -   , -   , -   , -   , -   , 10 
BUENOS AIRES,Bolívar,Juan F. Ibarra,6105020, -   , -   , -   , 1 , -   , -   , -   , -   , 1 
BUENOS AIRES,Bragado,Bragado,6112010, 500 , 3.107 , 10 , 249 , -   , -   , -   , 212 , 4.078 
BUENOS AIRES,Bragado,General O'Brien,6112030, 321 , -   , -   , 83 , -   , -   , -   , 36 , 440 
BUENOS AIRES,Bragado,Irala,6112040, -   , 2 , -   , -   , -   , -   , -   , 22 , 24 
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070, 10 , 8 , -   , -   , -   , -   , -   , 8 , 26 
BUENOS AIRES,Bragado,Warnes,6112090, 135 , -   , -   , -   , 9 , -   , -   , 7 , 151 
BUENOS AIRES,Bragado,Comodoro Py,6112020, -   , -   , -   , 220 , -   , -   , -   , 2 , 222 
BUENOS AIRES,Bragado,Olascoaga,6112080, -   , -   , -   , -   , -   , -   , -   , 40 , 40 
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050, 1.250 , 420 , 1 , 3.393 , 1 , -   , -   , 1.208 , 6.273 
BUENOS AIRES,Brandsen,Jeppener,6119070, 815 , -   , -   , 2 , -   , -   , -   , -   , 817 
BUENOS AIRES,Campana,Campana,6126030, 808 , 18.717 , 1 , 11.565 , 20 , 3 , -   , 44 , 31.158 
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040, -   , 56 , -   , -   , -   , -   , -   , -   , 56 
BUENOS AIRES,Campana,Alto Los Cardales,6126010, -   , -   , -   , 253 , -   , -   , -   , 41 , 294 
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020, -   , -   , -   , -   , -   , -   , -   , 60 , 60 
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035, -   , -   , -   , -   , -   , -   , -   , 35 , 35 
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010, 102 , 894 , 7 , -   , -   , -   , -   , 41 , 1.044 
BUENOS AIRES,Cañuelas,Barrio El Taladro,6134020, -   , -   , -   , 200 , -   , -   , -   , -   , 200 
BUENOS AIRES,Cañuelas,Cañuelas,6134030, 909 , 5.206 , 30 , 2.419 , -   , 1 , -   , 526 , 9.091 
BUENOS AIRES,Cañuelas,Máximo Paz,6134050, -   , 2.536 , -   , 1 , -   , -   , -   , 270 , 2.807 
BUENOS AIRES,Cañuelas,Santa Rosa,6134060, -   , -   , -   , -   , -   , 2 , -   , 233 , 235 
BUENOS AIRES,Cañuelas,Uribelarrea,6134070, 63 , -   , -   , 686 , -   , -   , -   , 141 , 890 
BUENOS AIRES,Cañuelas,Vicente Casares,6134080, 175 , -   , 2 , -   , -   , -   , -   , 25 , 202 
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030, -   , -   , -   , -   , -   , -   , -   , 48 , 48 
BUENOS AIRES,Cañuelas,Gobernador Udaondo,6134040, -   , -   , -   , 1 , -   , -   , -   , 20 , 21 
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,6140010, 144 , 4.200 , -   , 131 , -   , -   , -   , 89 , 4.564 
BUENOS AIRES,Capitán Sarmiento,La Luisa,6140020, -   , -   , -   , -   , -   , -   , -   , 44 , 44 
BUENOS AIRES,Carlos Casares,Cadret,6147020, -   , -   , -   , -   , 1 , -   , -   , 48 , 49 
BUENOS AIRES,Carlos Casares,Carlos Casares,6147030, 1.167 , 2 , 7 , 3.056 , -   , -   , -   , 2.461 , 6.693 
BUENOS AIRES,Carlos Casares,La Sofía,6147060, -   , -   , -   , -   , -   , -   , -   , 1 , 1 
BUENOS AIRES,Carlos Casares,Moctezuma,6147080, -   , -   , -   , -   , -   , -   , -   , 161 , 161 
BUENOS AIRES,Carlos Casares,Santo Tomás,6147095, -   , -   , -   , -   , -   , -   , -   , 44 , 44 
BUENOS AIRES,Carlos Casares,Smith,6147100, -   , -   , -   , -   , -   , -   , -   , 190 , 190 
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,6147070, -   , -   , -   , -   , -   , -   , -   , 47 , 47 
BUENOS AIRES,Carlos Casares,Bellocq,6147010, -   , -   , 1 , -   , -   , -   , -   , -   , 1 
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,6154010, 12 , 1.263 , 1 , 68 , -   , -   , -   , 499 , 1.843 
BUENOS AIRES,Carlos Tejedor,Colonia Seré,6154020, -   , -   , -   , 50 , -   , -   , -   , 77 , 127 
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos  (Est. Cuenca),6154050, -   , -   , -   , -   , -   , 1 , -   , 198 , 199 
BUENOS AIRES,Carlos Tejedor,Curarú,6154030, -   , -   , -   , -   , -   , -   , -   , 16 , 16 
BUENOS AIRES,Carlos Tejedor,Timote,6154040, -   , -   , -   , -   , -   , -   , -   , 61 , 61 
BUENOS AIRES,Carmen de Areco,Carmen de Areco,6161010, 322 , 1.750 , 5 , 8 , 1 , -   , -   , 1.045 , 3.131 
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,6161020, -   , -   , -   , -   , -   , -   , -   , 31 , 31 
BUENOS AIRES,Carmen de Areco,Tres Sargentos,6161030, -   , -   , -   , -   , -   , -   , -   , 107 , 107 
BUENOS AIRES,Castelli,Castelli,6168010, 52 , 1.109 , -   , 1.121 , -   , 2 , -   , 28 , 2.312 
BUENOS AIRES,Castelli,Centro Guerrero,6168020, -   , -   , -   , 46 , -   , -   , -   , 3 , 49 
BUENOS AIRES,Castelli,Cerro De La Gloria,6168030, -   , -   , -   , 7 , -   , -   , -   , -   , 7 
BUENOS AIRES,Chacabuco,Castilla,6210010, -   , -   , -   , -   , -   , -   , -   , 274 , 274 
BUENOS AIRES,Chacabuco,Chacabuco,6210020, 1.334 , 10.152 , 15 , 1.924 , -   , -   , -   , 130 , 13.555 
BUENOS AIRES,Chacabuco,O'Higgins,6210040, 260 , -   , -   , 220 , -   , -   , -   , 12 , 492 
BUENOS AIRES,Chacabuco,Rawson,6210050, 59 , -   , -   , 383 , -   , -   , -   , 134 , 576 
BUENOS AIRES,Chascomús,Chascomús,6217010, 1.847 , 8.030 , 79 , 1.166 , -   , 1 , -   , -   , 11.123 
BUENOS AIRES,Chascomús,Manuel J. Cobo  (Est. Lezama),6217020, 98 , 2.000 , -   , 2 , -   , -   , 444 , -   , 2.544 
BUENOS AIRES,Chascomús,Barrio San Cayetano,6217020, -   , -   , -   , 132 , -   , -   , -   , -   , 132 
BUENOS AIRES,Chivilcoy,Chivilcoy,6224010, 2.031 , 9.012 , 117 , 4.061 , 1 , 1 , -   , 5.530 , 20.753 
BUENOS AIRES,Chivilcoy,La Rica,6224040, 39 , -   , -   , -   , 2 , -   , -   , 97 , 138 
BUENOS AIRES,Chivilcoy,Moquehuá,6224050, -   , 338 , -   , 563 , -   , -   , -   , 30 , 931 
BUENOS AIRES,Chivilcoy,Ramón Biaus,6224060, 3 , -   , -   , -   , -   , -   , -   , 77 , 80 
BUENOS AIRES,Chivilcoy,San Sebastián,6224070, 3 , -   , -   , -   , -   , -   , -   , 49 , 52 
BUENOS AIRES,Chivilcoy,Gorostiaga,6224030, 55 , -   , -   , -   , -   , -   , -   , 2 , 57 
BUENOS AIRES,Chivilcoy,Benitez,6224005, -   , -   , -   , -   , -   , -   , -   , 19 , 19 
BUENOS AIRES,Chivilcoy,Emilio Ayarza,6224020, -   , -   , -   , -   , -   , -   , -   , 5 , 5 
BUENOS AIRES,Colón,Colón,6175010, 4.051 , 1.796 , -   , 4.968 , -   , -   , -   , 20 , 10.835 
BUENOS AIRES,Colón,Sarasa,6175040, -   , -   , -   , -   , -   , -   , -   , 14 , 14 
BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,6182020, -   , -   , -   , -   , -   , 1 , -   , -   , 1 
BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta  (Est Almirante Solier),6182030, 634 , 21.404 , 47 , 11 , -   , 6 , -   , -   , 22.102 
BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),6182050, -   , -   , -   , 165 , -   , -   , -   , -   , 165 
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,6182025, -   , -   , -   , -   , -   , -   , -   , 42 , 42 
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,6182010, -   , -   , -   , 25 , -   , -   , -   , 53 , 78 
BUENOS AIRES,Coronel de Marina L. Rosales,Villa del Mar,6182030, -   , -   , -   , 101 , -   , -   , -   , -   , 101 
BUENOS AIRES,Coronel Dorrego,Coronel Dorrego,6189030, 204 , 1.414 , 3 , 8 , -   , -   , -   , 32 , 1.661 
BUENOS AIRES,Coronel Dorrego,El Perdido  (Est. José A. Guisasola),6189040, -   , -   , -   , 32 , -   , -   , -   , 5 , 37 
BUENOS AIRES,Coronel Dorrego,Oriente,6189070, -   , -   , -   , 607 , -   , -   , -   , 48 , 655 
BUENOS AIRES,Coronel Dorrego,Balneario Marisol,6189020, -   , -   , -   , 402 , -   , -   , -   , -   , 402 
BUENOS AIRES,Coronel Pringles,Coronel Pringles  (Est. Pringles),6196010, 555 , 2.056 , 3 , 5 , -   , -   , -   , 171 , 2.790 
BUENOS AIRES,Coronel Pringles,Indio Rico,6196040, -   , -   , 1 , 24 , -   , -   , -   , 3 , 28 
BUENOS AIRES,Coronel Suárez,Coronel Suárez,6203020, 691 , 2.932 , 84 , 1.612 , -   , -   , -   , 785 , 6.104 
BUENOS AIRES,Coronel Suárez,Huanguelén,6203050, -   , -   , 1 , 1.630 , -   , -   , -   , 536 , 2.167 
BUENOS AIRES,Coronel Suárez,Pasman,6203060, -   , -   , -   , -   , -   , -   , -   , 71 , 71 
BUENOS AIRES,Coronel Suárez,San José,6203070, -   , 62 , -   , 795 , -   , -   , -   , -   , 857 
BUENOS AIRES,Coronel Suárez,Santa María,6203080, -   , 26 , -   , 516 , -   , -   , -   , -   , 542 
BUENOS AIRES,Coronel Suárez,Santa Trinidad,6203090, -   , 78 , -   , 648 , -   , -   , -   , -   , 726 
BUENOS AIRES,Coronel Suárez,Villa La Arcadia,6203100, -   , 104 , -   , 127 , -   , -   , -   , -   , 231 
BUENOS AIRES,Daireaux,Daireaux,6231030, 226 , -   , -   , -   , 194 , 50 , -   , 339 , 809 
BUENOS AIRES,Daireaux,Salazar,6231060, -   , -   , -   , -   , -   , -   , -   , 79 , 79 
BUENOS AIRES,Dolores,Dolores,6238010, 1.045 , 10.677 , 1 , 531 , -   , -   , 325 , -   , 12.579 
BUENOS AIRES,Dolores,Sevigne,6238020, -   , -   , -   , -   , -   , -   , -   , 1 , 1 
BUENOS AIRES,Ensenada,Ensenada,6245010, 1.196 , 11.744 , 16 , 2.926 , 13 , -   , -   , 2.092 , 17.987 
BUENOS AIRES,Ensenada,Villa Catela,6245010, -   , -   , -   , -   , -   , -   , -   , 7 , 7 
BUENOS AIRES,Escobar,Belen de Escobar,6252010, 1.415 , 16.859 , 21 , 12.302 , 388 , 1 , -   , 99 , 31.085 
BUENOS AIRES,Escobar,El Cazador,6252010, -   , 972 , -   , 2.588 , -   , -   , -   , -   , 3.560 
BUENOS AIRES,Escobar,Garín,6252010, 3.400 , 10.274 , 3 , 4.786 , 8 , 1 , -   , 11 , 18.483 
BUENOS AIRES,Escobar,Ingeniero Maschwitz,6252010, 306 , 4.280 , 3 , 4.082 , 7 , -   , -   , 300 , 8.978 
BUENOS AIRES,Escobar,Loma Verde,6252010, -   , -   , -   , 1.373 , -   , -   , -   , -   , 1.373 
BUENOS AIRES,Escobar,Maquinista F. Savio (este),6252010, 185 , 5.034 , -   , 131 , 2 , -   , -   , 14 , 5.366 
BUENOS AIRES,Escobar,Matheu,6252010, 700 , 2.723 , 2 , 64 , 3 , 1 , -   , 58 , 3.551 
BUENOS AIRES,Esteban Echeverría,9 De Abril,6260010, 54 , 7.100 , 6 , 12 , 4 , -   , -   , 153 , 7.329 
BUENOS AIRES,Esteban Echeverría,Canning,6260010, 2 , 4.017 , -   , 1.173 , 7 , -   , -   , 60 , 5.259 
BUENOS AIRES,Esteban Echeverría,El Jagüel,6260010, -   , 5.826 , -   , 4 , 18 , 1 , -   , 89 , 5.938 
BUENOS AIRES,Esteban Echeverría,Luis Guillón,6260010, 3 , 7.670 , 2 , 1.809 , 20 , -   , -   , 77 , 9.581 
BUENOS AIRES,Esteban Echeverría,Monte Grande,6260010, 60 , 27.615 , 57 , 28.466 , 102 , 3 , -   , 662 , 56.965 
BUENOS AIRES,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,6260010, 1 , -   , -   , -   , -   , -   , -   , 341 , 342 
BUENOS AIRES,Exaltación de la Cruz,Arroyo de la Cruz,6266010, -   , -   , -   , -   , -   , -   , -   , 164 , 164 
BUENOS AIRES,Exaltación de la Cruz,Capilla del Señor  (Est. Capilla),6266020, 294 , -   , 5 , 100 , -   , -   , -   , -   , 399 
BUENOS AIRES,Exaltación de la Cruz,Los Cardales,6266040, -   , 7.649 , 2 , 146 , -   , 2 , -   , 31 , 7.830 
BUENOS AIRES,Exaltación de la Cruz,Parada Orlando,6266050, -   , -   , -   , -   , -   , -   , -   , 5 , 5 
BUENOS AIRES,Exaltación de la Cruz,Parada Robles - Pavón,6266060, 1.140 , -   , -   , 1.917 , -   , -   , -   , 164 , 3.221 
BUENOS AIRES,Exaltación de la Cruz,El Remanso,6266030, 397 , -   , -   , 335 , -   , -   , -   , 43 , 775 
BUENOS AIRES,Ezeiza,Aeropuerto Internacional Ezeiza,6270010, 61 , -   , 2 , 7 , -   , 1 , -   , -   , 71 
BUENOS AIRES,Ezeiza,Canning,6270010, 58 , 1.895 , 1 , 1.255 , 18 , -   , -   , 79 , 3.306 
BUENOS AIRES,Ezeiza,Carlos Spegazzini,6270010, 23 , 4.726 , 2 , 1.979 , 2 , 1 , -   , 2 , 6.735 
BUENOS AIRES,Ezeiza,José Maria Ezeiza,6270010, 33 , 12.948 , 13 , 13.653 , 75 , 2 , -   , 91 , 26.815 
BUENOS AIRES,Ezeiza,La Unión,6270010, -   , 8.420 , 1 , 836 , 1 , 2 , -   , -   , 9.260 
BUENOS AIRES,Ezeiza,OTROS,Sin Datos, 3 , 1 , -   , 5 , -   , -   , -   , -   , 9 
BUENOS AIRES,Ezeiza,Tristán Suarez,6270010, 34 , 10.030 , 5 , 5.319 , 5 , -   , -   , 3 , 15.396 
BUENOS AIRES,Florencio Varela,Bosques,6274010, -   , 6.917 , 3 , 6.427 , 17 , -   , -   , 266 , 13.630 
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,6274010, 3 , 2.289 , 4 , 4.541 , -   , -   , -   , -   , 6.837 
BUENOS AIRES,Florencio Varela,Florencio Varela,6274010, 314 , 16.290 , 28 , 31.866 , 330 , 2 , -   , 810 , 49.640 
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,6274010, -   , 7.005 , 5 , 2.805 , 1 , -   , -   , -   , 9.816 
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,6274010, 424 , 5.318 , -   , 2.071 , 5 , -   , -   , -   , 7.818 
BUENOS AIRES,Florencio Varela,La Capilla,6274010, -   , -   , -   , 3 , -   , -   , -   , -   , 3 
BUENOS AIRES,Florencio Varela,la rotonda,6274010, 30 , -   , -   , 42 , -   , -   , -   , -   , 72 
BUENOS AIRES,Florencio Varela,Villa Brown,6274010, -   , 514 , -   , 316 , -   , -   , -   , -   , 830 
